Категория,Задача,Часы,Ставка (₽/час),Стоимость (₽),Примечания
Frontend Development,Базовая настройка Next.js + TypeScript,8,3000,24000,Уже выполнено
Frontend Development,Главная страница и навигация,12,3000,36000,Уже выполнено
Frontend Development,Страница квиза персонализации,16,3000,48000,Уже выполнено
Frontend Development,Интеграция 2GIS MapGL,20,3000,60000,Уже выполнено
Frontend Development,Компоненты карты (маркеры / полилинии),16,3000,48000,Уже выполнено
Frontend Development,Система маршрутов и навигации,24,3000,72000,Частично выполнено
Frontend Development,UI/UX полировка и мобильная оптимизация,16,3000,48000,Требуется доработка
Frontend Development,PWA настройка и офлайн режим,12,3000,36000,Частично выполнено
,,,Итого Frontend:,372000,

Backend Development,Next.js API routes setup,8,3500,28000,Требуется
Backend Development,Интеграция Gemini API,12,3500,42000,Уже выполнено
Backend Development,База данных (PostgreSQL + Prisma),20,3500,70000,Требуется
Backend Development,Аутентификация пользователей,16,3500,56000,Требуется
Backend Development,API endpoints для маршрутов,16,3500,56000,Требуется
Backend Development,API endpoints для квестов и бейджей,20,3500,70000,Требуется
Backend Development,Система геолокации и трекинга,16,3500,56000,Требуется
Backend Development,Интеграция с платежами (если нужно),20,3500,70000,Опционально для MVP
,,,Итого Backend:,448000,

AI & Integration,Настройка промптов Gemini,12,4000,48000,Уже выполнено
AI & Integration,Валидация координат через OSM,8,4000,32000,Уже выполнено
AI & Integration,Интеграция 2GIS Places API,12,4000,48000,Требуется
AI & Integration,OSRM routing интеграция,16,4000,64000,Частично выполнено
AI & Integration,Оптимизация AI запросов,8,4000,32000,Требуется
,,,Итого AI:,224000,

Design,Дизайн-система и брендинг,16,2500,40000,Уже выполнено
Design,UI компоненты библиотека,12,2500,30000,Частично выполнено
Design,Иконки и графика,12,2500,30000,Требуется
Design,Адаптивный дизайн (мобильный),16,2500,40000,Частично выполнено
Design,Анимации и микроинтеракции,8,2500,20000,Требуется
,,,Итого Design:,160000,

QA & Testing,Функциональное тестирование,20,2000,40000,Требуется
QA & Testing,Мобильное тестирование (iOS/Android),16,2000,32000,Требуется
QA & Testing,Тестирование геолокации,12,2000,24000,Требуется
QA & Testing,PWA тестирование,8,2000,16000,Требуется
QA & Testing,Баг-фиксинг,16,2000,32000,Требуется
,,,Итого QA:,144000,

DevOps & Infrastructure,Настройка Vercel deployment,4,3000,12000,Частично выполнено
DevOps & Infrastructure,Настройка БД (Supabase/Railway),8,3000,24000,Требуется
DevOps & Infrastructure,CI/CD pipeline,8,3000,24000,Требуется
DevOps & Infrastructure,Мониторинг и логирование,8,3000,24000,Требуется
DevOps & Infrastructure,Резервное копирование,4,3000,12000,Требуется
,,,Итого DevOps:,96000,

Project Management,Планирование спринтов,12,2500,30000,Требуется
Project Management,Координация команды,20,2500,50000,Требуется
Project Management,Документация,12,2500,30000,Частично выполнено
Project Management,Встречи и ревью,16,2500,40000,Требуется
,,,Итого PM:,150000,

Лицензии и сервисы,2GIS MapGL API (если платный тариф),0,0,0,Пока бесплатно
Лицензии и сервисы,Google Gemini API (токены),0,0,50000,~$50-100/месяц для MVP
Лицензии и сервисы,База данных хостинг,0,0,0,Supabase free tier
Лицензии и сервисы,Vercel Pro (если нужно),0,0,0,Hobby tier бесплатно
Лицензии и сервисы,Домен и SSL,0,0,2000,~₽1000-2000/год
,,,Итого Сервисы:,52000,

,,,,,
ИТОГО ПО РАЗРАБОТКЕ,,,,1646000,
Уже выполнено (оценка),,,,450000,Примерно 27% готово
Осталось выполнить,,,,1196000,
,,,,,
Резерв на непредвиденные (15%),,,,179400,
,,,,,
ФИНАЛЬНАЯ СТОИМОСТЬ MVP,,,,1825400,₽

Разбивка по статусу:,,,,,
Выполнено,Frontend + AI базовая интеграция,~150,3200,480000,
В процессе,Routing + UI доработки,~80,3200,256000,
Требуется,Backend + QA + DevOps + PM,~360,2800,1008000,
,,,,,
Временная оценка:,,,,,
При команде из 3-4 человек,,,6-8 недель,
При команде из 2 человек,,,10-12 недель,
Solo разработка,,,16-20 недель,